timestamp,src_ip,user,event_id,status
2025-09-26T05:15:02.288728,203.0.113.5,Administrator,4625,FAIL
2025-09-26T05:16:32.288728,172.16.0.10,svc-backup,4624,SUCCESS
2025-09-26T05:18:02.288728,192.168.1.50,ayounes,4625,FAIL
2025-09-26T05:19:32.288728,203.0.113.5,Administrator,4624,SUCCESS
2025-09-26T05:21:02.288728,172.16.0.10,ayounes,4624,SUCCESS
2025-09-26T05:22:32.288728,172.16.0.10,ayounes,4624,SUCCESS
2025-09-26T05:24:02.288728,10.0.0.4,jsmith,4625,FAIL
2025-09-26T05:25:32.288728,172.16.0.10,Administrator,4625,FAIL
2025-09-26T05:27:02.288728,172.16.0.10,Administrator,4624,SUCCESS
2025-09-26T05:28:32.288728,10.0.0.4,Administrator,4624,SUCCESS
2025-09-26T05:30:02.288728,192.168.1.50,jsmith,4625,FAIL
2025-09-26T05:31:32.288728,203.0.113.5,svc-backup,4624,SUCCESS
2025-09-26T05:33:02.288728,192.168.1.77,ayounes,4624,SUCCESS
2025-09-26T05:34:32.288728,203.0.113.5,Administrator,4625,FAIL
2025-09-26T05:36:02.288728,192.168.1.50,jsmith,4624,SUCCESS
2025-09-26T05:37:32.288728,172.16.0.10,Administrator,4624,SUCCESS
2025-09-26T05:39:02.288728,10.0.0.4,Administrator,4624,SUCCESS
2025-09-26T05:40:32.288728,172.16.0.10,svc-backup,4624,SUCCESS
2025-09-26T05:42:02.288728,203.0.113.5,jsmith,4625,FAIL
2025-09-26T05:43:32.288728,203.0.113.5,ayounes,4624,SUCCESS
2025-09-26T05:45:02.288728,192.168.1.77,ayounes,4625,FAIL
2025-09-26T05:46:32.288728,192.168.1.50,Administrator,4624,SUCCESS
2025-09-26T05:48:02.288728,172.16.0.10,ayounes,4624,SUCCESS
2025-09-26T05:49:32.288728,192.168.1.50,jsmith,4624,SUCCESS
2025-09-26T05:51:02.288728,192.168.1.50,svc-backup,4624,SUCCESS
2025-09-26T05:52:32.288728,192.168.1.77,svc-backup,4624,SUCCESS
2025-09-26T05:54:02.288728,192.168.1.50,jsmith,4624,SUCCESS
2025-09-26T05:55:32.288728,10.0.0.4,jsmith,4624,SUCCESS
2025-09-26T05:57:02.288728,172.16.0.10,ayounes,4624,SUCCESS
2025-09-26T05:58:32.288728,172.16.0.10,Administrator,4624,SUCCESS
2025-09-26T06:00:02.288728,172.16.0.10,ayounes,4624,SUCCESS
2025-09-26T06:01:32.288728,203.0.113.5,ayounes,4624,SUCCESS
2025-09-26T06:03:02.288728,192.168.1.77,Administrator,4625,FAIL
2025-09-26T06:04:32.288728,203.0.113.5,ayounes,4624,SUCCESS
2025-09-26T06:06:02.288728,172.16.0.10,jsmith,4624,SUCCESS
2025-09-26T06:07:32.288728,172.16.0.10,Administrator,4624,SUCCESS
2025-09-26T06:09:02.288728,10.0.0.4,jsmith,4624,SUCCESS
2025-09-26T06:10:32.288728,172.16.0.10,jsmith,4624,SUCCESS
2025-09-26T06:12:02.288728,203.0.113.5,svc-backup,4624,SUCCESS
2025-09-26T06:13:32.288728,192.168.1.50,Administrator,4624,SUCCESS
2025-09-26T06:15:02.288728,172.16.0.10,ayounes,4624,SUCCESS
2025-09-26T06:16:32.288728,172.16.0.10,jsmith,4624,SUCCESS
2025-09-26T06:18:02.288728,203.0.113.5,ayounes,4625,FAIL
2025-09-26T06:19:32.288728,172.16.0.10,svc-backup,4624,SUCCESS
2025-09-26T06:21:02.288728,192.168.1.77,Administrator,4624,SUCCESS
2025-09-26T06:22:32.288728,192.168.1.50,Administrator,4624,SUCCESS
2025-09-26T06:24:02.288728,203.0.113.5,jsmith,4624,SUCCESS
2025-09-26T06:25:32.288728,192.168.1.77,Administrator,4624,SUCCESS
2025-09-26T06:27:02.288728,172.16.0.10,ayounes,4624,SUCCESS
2025-09-26T06:28:32.288728,172.16.0.10,jsmith,4624,SUCCESS
2025-09-26T06:30:02.288728,203.0.113.5,Administrator,4624,SUCCESS
2025-09-26T06:31:32.288728,10.0.0.4,jsmith,4624,SUCCESS
2025-09-26T06:33:02.288728,10.0.0.4,jsmith,4624,SUCCESS
